Record_ID,Calling_Agents,Calling_Agents_Description
218,"%5BFBAN/FB4A;FBAV/313.0.0.35.119;FBBV/282998069;FBDM/%7Bdensity=2.625,width=1080,height=2186%7D;FBLC/en_GB;FBRV/0;FBCR/mobily;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-A515F;FBSV/10;FBOP/19;FBCA/arm64-v8a:;%5D",Facebook App 313 on Samsung SM-A515F
219,"%5BFBAN/FB4A;FBAV/313.0.0.35.119;FBBV/282998069;FBDM/%7Bdensity=2.625,width=1080,height=2195%7D;FBLC/en_US;FBRV/0;FBCR/TelkomSA;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-A315F;FBSV/10;FBOP/19;FBCA/arm64-v8a:;%5D",Facebook App 313 on Samsung SM-A315F
220,"%5BFBAN/FB4A;FBAV/313.0.0.35.119;FBBV/282998069;FBDM/%7Bdensity=2.75,width=1080,height=2131%7D;FBLC/en_GB;FBRV/285101639;FBCR/Grameenphone;FBMF/Xiaomi;FBBD/xiaomi;FBPN/com.facebook.katana;FBDV/Redmi%20Note%207S;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 313 on Redmi
221,"%5BFBAN/FB4A;FBAV/313.0.0.35.119;FBBV/282998069;FBDM/%7Bdensity=2.75,width=1080,height=2175%7D;FBLC/en_GB;FBRV/284086005;FBCR/Robi-Stay%20Home;FBMF/Xiaomi;FBBD/POCO;FBPN/com.facebook.katana;FBDV/POCO%20X2;FBSV/11;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 313 on ARM 64
222,"%5BFBAN/FB4A;FBAV/313.0.0.35.119;FBBV/282998069;FBDM/%7Bdensity=3.0,width=1080,height=2132%7D;FBLC/en_US;FBRV/284452192;FBCR/Grameenphone;FBMF/OPPO;FBBD/OPPO;FBPN/com.facebook.katana;FBDV/RMX1801;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 313 on ARM 64
223,"%5BFBAN/FB4A;FBAV/314.0.0.43.119;FBBV/284453117;FBDM/%7Bdensity=2.0,width=720,height=1280%7D;FBLC/en_GB;FBRV/0;FBCR/Robi;FBMF/Xiaomi;FBBD/xiaomi;FBPN/com.facebook.katana;FBDV/Redmi%20Note%205A%20Prime;FBSV/7.1.2;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 314 on Redmi
224,"%5BFBAN/FB4A;FBAV/314.0.0.43.119;FBBV/284453182;FBDM/%7Bdensity=2.0,width=720,height=1456%7D;FBLC/en_US;FBRV/0;FBCR/Robi;FBMF/OPPO;FBBD/OPPO;FBPN/com.facebook.katana;FBDV/CPH1937;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 314 on ARM 64
225,"%5BFBAN/FB4A;FBAV/314.0.0.43.119;FBBV/284453184;FBDM/%7Bdensity=2.0,width=720,height=1456%7D;FBLC/en_US;FBRV/0;FBCR/Jio%204G;FBMF/OPPO;FBBD/OPPO;FBPN/com.facebook.katana;FBDV/CPH1931;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 314 on ARM 64
226,"%5BFBAN/FB4A;FBAV/314.0.0.43.119;FBBV/284453184;FBDM/%7Bdensity=2.625,width=1080,height=2195%7D;FBLC/en_GB;FBRV/0;FBCR/stc%20KW;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-A315F;FBSV/11;FBOP/19;FBCA/arm64-v8a:;%5D",Facebook App 314 on Samsung SM-A315F
227,"%5BFBAN/FB4A;FBAV/314.1.0.45.119;FBBV/285360728;FBDM/%7Bdensity=1.3312501,width=800,height=1280%7D;FBLC/en_US;FBRV/286528438;FBCR/Teletalk;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-T385;FBSV/9;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 314.1 on Samsung SM-T385
228,"%5BFBAN/FB4A;FBAV/314.1.0.45.119;FBBV/285360730;FBDM/%7Bdensity=2.0,width=720,height=1280%7D;FBLC/en_GB;FBRV/0;FBCR/Banglalink;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-J701F;FBSV/9;FBOP/19;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 314.1 on Samsung SM-J701F
229,"%5BFBAN/FB4A;FBAV/314.1.0.45.119;FBBV/285360730;FBDM/%7Bdensity=2.0,width=720,height=1436%7D;FBLC/en_US;FBRV/0;FBCR/Robi;FBMF/vivo;FBBD/vivo;FBPN/com.facebook.katana;FBDV/vivo%201811;FBSV/8.1.0;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 314.1 on Vivo
230,"%5BFBAN/FB4A;FBAV/314.1.0.45.119;FBBV/285360730;FBDM/%7Bdensity=2.75,width=1080,height=2030%7D;FBLC/en_US;FBRV/286528438;FBCR/Grameenphone;FBMF/Xiaomi;FBBD/xiaomi;FBPN/com.facebook.katana;FBDV/Redmi%205%20Plus;FBSV/8.1.0;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 314.1 on Redmi
231,"%5BFBAN/FB4A;FBAV/314.1.0.45.119;FBBV/285360736;FBDM/%7Bdensity=1.75,width=720,height=1422%7D;FBLC/en_GB;FBRV/286488453;FBCR/airtel;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-A207F;FBSV/9;FBOP/19;FBCA/arm64-v8a:;%5D",Facebook App 314.1 on Samsung SM-A207F
232,"%5BFBAN/FB4A;FBAV/314.1.0.45.119;FBBV/285360754;FBDM/%7Bdensity=2.0,width=720,height=1456%7D;FBLC/en_US;FBRV/286528438;FBCR/Robi;FBMF/realme;FBBD/realme;FBPN/com.facebook.katana;FBDV/RMX2030;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 314.1 on ARM 64
233,"%5BFBAN/FB4A;FBAV/314.1.0.45.119;FBBV/285360754;FBDM/%7Bdensity=2.0,width=720,height=1459%7D;FBLC/en_US;FBRV/0;FBCR/Jio%204G;FBMF/vivo;FBBD/vivo;FBPN/com.facebook.katana;FBDV/V2027;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 314.1 on Vivo
234,"%5BFBAN/FB4A;FBAV/314.1.0.45.119;FBBV/285360755;FBDM/%7Bdensity=2.625,width=1080,height=2195%7D;FBLC/en_GB;FBRV/0;FBCR/Jio%204G;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-A315F;FBSV/10;FBOP/19;FBCA/arm64-v8a:;%5D",Facebook App 314.1 on Samsung SM-A315F
235,"%5BFBAN/FB4A;FBAV/314.1.0.45.119;FBBV/285360755;FBDM/%7Bdensity=2.75,width=1080,height=2110%7D;FBLC/en_GB;FBRV/286306091;FBCR/Grameenphone;FBMF/Xiaomi;FBBD/Redmi;FBPN/com.facebook.katana;FBDV/M2003J15SC;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 314.1 on Redmi
236,"%5BFBAN/FB4A;FBAV/314.1.0.45.119;FBBV/285360755;FBDM/%7Bdensity=2.75,width=1080,height=2130%7D;FBLC/en_GB;FBRV/0;FBCR/Banglalink;FBMF/Xiaomi;FBBD/xiaomi;FBPN/com.facebook.katana;FBDV/Redmi%20Note%208;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 314.1 on Redmi
237,"%5BFBAN/FB4A;FBAV/314.1.0.45.119;FBBV/285360755;FBDM/%7Bdensity=2.75,width=1080,height=2134%7D;FBLC/en_GB;FBRV/0;FBCR/IND%20airtel;FBMF/Xiaomi;FBBD/Redmi;FBPN/com.facebook.katana;FBDV/M2004J19C;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 314.1 on Redmi
238,"%5BFBAN/FB4A;FBAV/314.1.0.45.119;FBBV/285360755;FBDM/%7Bdensity=3.0,width=1080,height=2172%7D;FBLC/en_US;FBRV/0;FBCR/Banglalink;FBMF/OPPO;FBBD/OPPO;FBPN/com.facebook.katana;FBDV/CPH2095;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 314.1 on ARM 64
239,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966672;FBDM/%7Bdensity=2.0,width=720,height=1344%7D;FBLC/en_US;FBRV/0;FBCR/airtel;FBMF/Xiaomi;FBBD/xiaomi;FBPN/com.facebook.katana;FBDV/Redmi%20Y2;FBSV/9;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 315 on Redmi
240,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966672;FBDM/%7Bdensity=2.0,width=720,height=1344%7D;FBLC/en_US;FBRV/0;FBCR/IND%20airtel;FBMF/Xiaomi;FBBD/xiaomi;FBPN/com.facebook.katana;FBDV/Redmi%206;FBSV/9;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 315 on Redmi
241,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966672;FBDM/%7Bdensity=2.75,width=1080,height=2030%7D;FBLC/en_GB;FBRV/0;FBCR/Jio%204G;FBMF/Xiaomi;FBBD/xiaomi;FBPN/com.facebook.katana;FBDV/Redmi%20Note%205;FBSV/8.1.0;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 315 on Redmi
242,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966698;FBDM/%7Bdensity=2.75,width=1080,height=2110%7D;FBLC/en_US;FBRV/287502466;FBCR/Grameenphone;FBMF/Xiaomi;FBBD/Redmi;FBPN/com.facebook.katana;FBDV/M2003J15SC;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 315 on Redmi
243,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966814;FBDM/%7Bdensity=2.0,width=720,height=1440%7D;FBLC/en_US;FBRV/0;FBCR/Ooredoo;FBMF/HUAWEI;FBBD/HUAWEI;FBPN/com.facebook.katana;FBDV/DUB-LX1;FBSV/8.1.0;FBOP/19;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 315 on Huawei
244,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966821;FBDM/%7Bdensity=2.0,width=720,height=1418%7D;FBLC/en_GB;FBRV/287502466;FBCR/Grameenphone;FBMF/HUAWEI;FBBD/HUAWEI;FBPN/com.facebook.katana;FBDV/INE-LX2r;FBSV/9;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 315 on Huawei
245,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966836;FBDM/%7Bdensity=2.625,width=1080,height=2075%7D;FBLC/en_US;FBRV/287018655;FBCR/Robi;FBMF/OnePlus;FBBD/OnePlus;FBPN/com.facebook.katana;FBDV/ONEPLUS%20A6000;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 315 on OnePlus
246,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966856;FBDM/%7Bdensity=1.5,width=540,height=888%7D;FBLC/en_GB;FBRV/287702712;FBCR/Teletalk;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-A260G;FBSV/8.1.0;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 315 on Samsung SM-A260G
247,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966858;FBDM/%7Bdensity=1.75,width=720,height=1396%7D;FBLC/en_GB;FBRV/0;FBCR/Grameenphone;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-J415F;FBSV/9;FBOP/19;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 315 on Samsung SM-J415F
248,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966858;FBDM/%7Bdensity=2.0,width=720,height=1280%7D;FBLC/en_US;FBRV/0;FBCR/airtel;FBMF/vivo;FBBD/vivo;FBPN/com.facebook.katana;FBDV/vivo%201714;FBSV/7.0;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 315 on Vivo
249,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966858;FBDM/%7Bdensity=2.0,width=720,height=1344%7D;FBLC/en_GB;FBRV/0;FBCR/Grameenphone;FBMF/Xiaomi;FBBD/xiaomi;FBPN/com.facebook.katana;FBDV/Redmi%206;FBSV/9;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 315 on Redmi
250,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966858;FBDM/%7Bdensity=2.0,width=720,height=1344%7D;FBLC/en_US;FBRV/287877264;FBCR/Jio%204G;FBMF/Xiaomi;FBBD/xiaomi;FBPN/com.facebook.katana;FBDV/Redmi%206A;FBSV/9;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 315 on Redmi
251,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966858;FBDM/%7Bdensity=2.0,width=720,height=1424%7D;FBLC/en_US;FBRV/0;FBCR/Robi;FBMF/OPPO;FBBD/OPPO;FBPN/com.facebook.katana;FBDV/CPH1909;FBSV/8.1.0;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 315
252,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966858;FBDM/%7Bdensity=2.0,width=720,height=1440%7D;FBLC/en_GB;FBRV/287877264;FBCR/Ooredoo;FBMF/HUAWEI;FBBD/HUAWEI;FBPN/com.facebook.katana;FBDV/DUB-LX1;FBSV/8.1.0;FBOP/19;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 315 on Huawei
253,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966859;FBDM/%7Bdensity=3.0,width=1080,height=1794%7D;FBLC/en_US;FBRV/287877264;FBCR/Robi;FBMF/HUAWEI;FBBD/HUAWEI;FBPN/com.facebook.katana;FBDV/WAS-LX1A;FBSV/8.0.0;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 315 on Huawei
254,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966859;FBDM/%7Bdensity=4.0,width=1440,height=2560%7D;FBLC/en_GB;FBRV/287877264;FBCR/3;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-G935F;FBSV/8.0.0;FBOP/19;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 315 on Samsung SM-G935F
255,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966865;FBDM/%7Bdensity=2.0,width=720,height=1407%7D;FBLC/en_US;FBRV/0;FBCR/Vodafone%20IN;FBMF/vivo;FBBD/vivo;FBPN/com.facebook.katana;FBDV/vivo%201916;FBSV/9;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 315 on Vivo
256,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966866;FBDM/%7Bdensity=2.0,width=720,height=1369%7D;FBLC/en_US;FBRV/0;FBCR/Jio%204G;FBMF/Xiaomi;FBBD/xiaomi;FBPN/com.facebook.katana;FBDV/Redmi%20Y3;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 315 on Redmi
257,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966866;FBDM/%7Bdensity=2.625,width=1080,height=2094%7D;FBLC/en_US;FBRV/287702712;FBCR/etisalat%20%7C%20%20;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-N950F;FBSV/9;FBOP/19;FBCA/arm64-v8a:;%5D",Facebook App 315 on Samsung SM-N950F
258,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966866;FBDM/%7Bdensity=2.625,width=1080,height=2131%7D;FBLC/en_US;FBRV/287502466;FBCR/etisalat;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-A305F;FBSV/10;FBOP/19;FBCA/arm64-v8a:;%5D",Facebook App 315 on Samsung SM-A305F
259,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966866;FBDM/%7Bdensity=2.75,width=1080,height=2030%7D;FBLC/en_US;FBRV/0;FBCR/Vi%20India;FBMF/Xiaomi;FBBD/xiaomi;FBPN/com.facebook.katana;FBDV/Redmi%20Note%205%20Pro;FBSV/9;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 315 on Redmi
260,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966866;FBDM/%7Bdensity=2.75,width=1080,height=2131%7D;FBLC/en_US;FBRV/287269942;FBCR/Vi%20India;FBMF/Xiaomi;FBBD/xiaomi;FBPN/com.facebook.katana;FBDV/Redmi%20Note%207%20Pro;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 315 on Redmi
261,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966866;FBDM/%7Bdensity=3.0,width=1080,height=2016%7D;FBLC/en_GB;FBRV/287560210;FBCR/Jio%204G;FBMF/OPPO;FBBD/OPPO;FBPN/com.facebook.katana;FBDV/CPH1859;FBSV/9;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 315 on ARM 64
262,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966874;FBDM/%7Bdensity=1.75,width=720,height=1411%7D;FBLC/en_GB;FBRV/287502466;FBCR/Banglalink;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-M115F;FBSV/10;FBOP/19;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 315 on Samsung SM-M115F
263,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966874;FBDM/%7Bdensity=1.75,width=720,height=1411%7D;FBLC/en_GB;FBRV/287877264;FBCR/;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-M115F;FBSV/10;FBOP/19;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 315 on Samsung SM-M115F
264,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966874;FBDM/%7Bdensity=2.0,width=720,height=1370%7D;FBLC/en_GB;FBRV/287877264;FBCR/Grameenphone;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-M105F;FBSV/10;FBOP/19;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 315 on Samsung SM-M105F
265,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966874;FBDM/%7Bdensity=2.0,width=720,height=1449%7D;FBLC/en_US;FBRV/0;FBCR/Jio%204G;FBMF/Xiaomi;FBBD/Redmi;FBPN/com.facebook.katana;FBDV/M2006C3LI;FBSV/10;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 315 on Redmi
266,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966875;FBDM/%7Bdensity=2.625,width=1080,height=2094%7D;FBLC/en_GB;FBRV/287769179;FBCR/Robi;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-A605G;FBSV/10;FBOP/19;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 315 on Samsung SM-A605G
267,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966879;FBDM/%7Bdensity=1.875,width=720,height=1475%7D;FBLC/en_US;FBRV/287877264;FBCR/Banglalink;FBMF/vivo;FBBD/vivo;FBPN/com.facebook.katana;FBDV/V2037;FBSV/11;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 315 on Vivo
268,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966879;FBDM/%7Bdensity=3.0,width=1080,height=2208%7D;FBLC/en_US;FBRV/287877264;FBCR/Robi;FBMF/HUAWEI;FBBD/HUAWEI;FBPN/com.facebook.katana;FBDV/JNY-LX1;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 315 on Huawei
269,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966882;FBDM/%7Bdensity=1.3312501,width=800,height=1216%7D;FBLC/en_GB;FBRV/287877264;FBCR/airtel;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-T295;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 315 on Samsung SM-T295
270,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966885;FBDM/%7Bdensity=1.75,width=720,height=1423%7D;FBLC/en_GB;FBRV/287640030;FBCR/Zain%20VISION%202030;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-A205F;FBSV/10;FBOP/19;FBCA/arm64-v8a:;%5D",Facebook App 315 on Samsung SM-A205F
271,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966885;FBDM/%7Bdensity=1.75,width=720,height=1423%7D;FBLC/en_GB;FBRV/287877264;FBCR/Grameenphone;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-A307FN;FBSV/10;FBOP/19;FBCA/arm64-v8a:;%5D",Facebook App 315 on Samsung SM-A307FN
272,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966885;FBDM/%7Bdensity=1.75,width=720,height=1423%7D;FBLC/en_US;FBRV/0;FBCR/Grameenphone;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-A205F;FBSV/10;FBOP/19;FBCA/arm64-v8a:;%5D",Facebook App 315 on Samsung SM-A205F
273,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966885;FBDM/%7Bdensity=2.0,width=720,height=1403%7D;FBLC/en_US;FBRV/0;FBCR/Jio%204G;FBMF/motorola;FBBD/motorola;FBPN/com.facebook.katana;FBDV/moto%20g(7)%20power;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 315 on ARM 64
274,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966885;FBDM/%7Bdensity=2.0,width=720,height=1406%7D;FBLC/en_US;FBRV/287877264;FBCR/Jio%204G;FBMF/vivo;FBBD/vivo;FBPN/com.facebook.katana;FBDV/vivo%201906;FBSV/11;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 315 on Vivo
275,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966885;FBDM/%7Bdensity=2.0,width=720,height=1456%7D;FBLC/en_US;FBRV/0;FBCR/Grameenphone;FBMF/realme;FBBD/realme;FBPN/com.facebook.katana;FBDV/RMX2195;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 315 on ARM 64
276,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966885;FBDM/%7Bdensity=2.0,width=720,height=1510%7D;FBLC/en_GB;FBRV/287460275;FBCR/3;FBMF/HUAWEI;FBBD/HUAWEI;FBPN/com.facebook.katana;FBDV/VOG-L29;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 315 on Huawei
277,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966886;FBDM/%7Bdensity=2.625,width=1080,height=2042%7D;FBLC/en_GB;FBRV/286993529;FBCR/Grameenphone;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-G973F;FBSV/10;FBOP/19;FBCA/arm64-v8a:;%5D",Facebook App 315 on Samsung SM-G973F
278,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966886;FBDM/%7Bdensity=2.625,width=1080,height=2094%7D;FBLC/en_GB;FBRV/287877264;FBCR/Grameenphone;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-A750F;FBSV/10;FBOP/19;FBCA/arm64-v8a:;%5D",Facebook App 315 on Samsung SM-A750F
279,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966886;FBDM/%7Bdensity=2.625,width=1080,height=2131%7D;FBLC/en_GB;FBRV/286993529;FBCR/Grameenphone;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-A505F;FBSV/11;FBOP/19;FBCA/arm64-v8a:;%5D",Facebook App 315 on Samsung SM-A505F
280,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966886;FBDM/%7Bdensity=2.625,width=1080,height=2131%7D;FBLC/en_GB;FBRV/287018655;FBCR/Robi;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-A305F;FBSV/10;FBOP/19;FBCA/arm64-v8a:;%5D",Facebook App 315 on Samsung SM-A305F
281,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966886;FBDM/%7Bdensity=2.625,width=1080,height=2131%7D;FBLC/en_GB;FBRV/287702712;FBCR/Grameenphone;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-A505F;FBSV/11;FBOP/19;FBCA/arm64-v8a:;%5D",Facebook App 315 on Samsung SM-A505F
282,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966886;FBDM/%7Bdensity=2.625,width=1080,height=2134%7D;FBLC/en_Qaau_GB;FBRV/287742104;FBCR/StarHub;FBMF/OnePlus;FBBD/OnePlus;FBPN/com.facebook.katana;FBDV/ONEPLUS%20A6010;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 315 on OnePlus
283,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966886;FBDM/%7Bdensity=2.625,width=1080,height=2206%7D;FBLC/en_US;FBRV/287877264;FBCR/Jio%204G;FBMF/OnePlus;FBBD/OnePlus;FBPN/com.facebook.katana;FBDV/HD1901;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 315 on OnePlus
284,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966886;FBDM/%7Bdensity=2.75,width=1080,height=2179%7D;FBLC/en_GB;FBRV/0;FBCR/Grameenphone;FBMF/Xiaomi;FBBD/POCO;FBPN/com.facebook.katana;FBDV/M2102J20SI;FBSV/11;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 315 on ARM 64
285,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966886;FBDM/%7Bdensity=3.0,width=1080,height=2068%7D;FBLC/en_US;FBRV/0;FBCR/Grameenphone;FBMF/OPPO;FBBD/OPPO;FBPN/com.facebook.katana;FBDV/CPH1819;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 315 on ARM 64
286,"%5BFBAN/FB4A;FBAV/315.0.0.47.113;FBBV/285966886;FBDM/%7Bdensity=3.0,width=1080,height=2130%7D;FBLC/en_US;FBRV/287798754;FBCR/No%20service;FBMF/vivo;FBBD/vivo;FBPN/com.facebook.katana;FBDV/vivo%201915;FBSV/11;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 315 on Vivo
287,"%5BFBAN/FB4A;FBAV/316.0.0.54.116;FBBV/287518669;FBDM/%7Bdensity=2.0,width=720,height=1280%7D;FBLC/en_GB;FBRV/287924019;FBCR/Grameenphone;FBMF/Xiaomi;FBBD/Xiaomi;FBPN/com.facebook.katana;FBDV/Redmi%204X;FBSV/7.1.2;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 316 on Redmi
288,"%5BFBAN/FB4A;FBAV/316.0.0.54.116;FBBV/287518669;FBDM/%7Bdensity=2.0,width=720,height=1280%7D;FBLC/en_GB;FBRV/288728217;FBCR/Grameenphone;FBMF/Xiaomi;FBBD/xiaomi;FBPN/com.facebook.katana;FBDV/Redmi%20Note%205A%20Prime;FBSV/7.1.2;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 316 on Redmi
